Newly Added,ID,Industry,Code,Alphabet,Numeric,Type ,Segment Name,Display Name,Real Value,Group,Type,Value,New Attribute Name,Rename,Meaning
,95,Leisure,B6,B,6,Place Categories,Zoo Visitors,Zoo ,,Entertainment,Leisure,Low,,,
,215,Zoo,F5.14,F,5.14,Place Categories,Zoo Visitors,Zoo ,,Travel,Leisure,Low,,,
,30,Entertainment,B,B,,Place Categories,Zone Bowling Visitors,Zone Bowling ,,Entertainment,Leisure,Low,,,
,286,Software,I1.9,I,1.9,Brand Visited,Zing Visitors,Zing , ,Technology,Products,Low,,,
,228,Shopping and fashion,G,G,,Brand Visited,Zimmermann Visitors,Zimmermann ,,Shopping & Fashion,Shoppers,High,,,
,26,Real estate,A14,A,14,Geo Behaviour,In-market Property Buyers,In-market Property Buyers,,Business,Property,Low,Yes,Property Explorer,people Mostly online searching or clicked ads related to property sales and purchase
,323,Motorcycles,J3.1.6,J,3.1.6,geo Behaviour,In-Market Motorcycle Buyers,In-Market Motorcycle Buyers,,Automotive,Vehicles,Low,Yes,Motorcyle Explore Visitors,people Mostly online searching or clicked ads related to motocylce sales services 
,153,Pizza,E5.6,E,5.6,Brand Visited,Zeppa's Pizza Visitors,Zeppa's Pizza ,,Restaurants,Fast Food,Low,,,
,156,Coffeehouses,E6.1,E,6.1,Brand Visited,Zarraffa's Coffee Visitors,Zarraffa's Coffee ,,Beverage,Non Alcoholic,Low,,,
,228,Shopping and fashion,G,G,,Brand Visited,Zara Visitors,Zara ,,Shopping & Fashion,Shoppers,Low,,,
,245,Jewelry,G3.3,G,3.3,Brand Visited,Michael Hill ,Michael Hill ,,Shopping & Fashion,Jewelry,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Marriot Hotels Chain,Marriot Hotels Chain,,Travel,Accommodation,Low,,,
,201,Travel,F5,F,5,Geo Behaviour,In-Market Travel,In-Market Travel,,Travel,Leisure,Low,Yes,Market Explorer,people Mostly online searching or clicked ads related to travelling 
,29,Professional,A17,A,17,Geo Behaviour,In-Market Legal Services,In-Market Legal Services,,Business,Law,Low,Yes,Legal Service Explorer,people Mostly online searching or clicked ads related to legal services 
,17,Insurance,A13.2,A,13.2,Geo Behaviour,In-Market Insurance Buyers,In-Market Insurance Buyers,,Finance,Insurance,Low,Yes,Insurance Explorer,people Mostly online searching or clicked ads related to insurance services
N,22,Banking,A13.7,A,13.7,Brands Visited,HSBC Banks,HSBC Banks,,Finance,Banking,Low,,,
,95,Leisure,B6,B,6,Interests,Humor and Satire,Humor and Satire,,Entertainment,Leisure,Low,Yes,Fun & Sarcasm,
,289,Consumer electronics,I2,I,2,Geo Behaviour,In-market Electronics Buyer,In-market Electronics Buyer,,Shopping & Fashion,Shoppers,Low,Yes,Electronics Buyer Explorer,people Mostly online searching or clicked ads related to electronic good purchasing
,354,Shopping malls,N6,N,6,Brand Visited,Direct Factory Outlets ,Direct Factory Outlets ,,Shopping & Fashion,Shoppers,Low,,,
,112,Physical fitness,D4,D,4,Brand Visited,Zap Fitness Visitors,Zap Fitness , ,Fitness And Wellness,Fitness Care,Low,,,
,155,Restaurants,E6,E,6,Brand Visited,Zambrero Visitors,Zambrero ,,Restaurants,Food & Drink,Low,,,
,120,Wine,E1.3,E,1.3,Brand Visited,Z WINE Visitors,Z WINE , ,Beverage,Alcoholic,Low,,,
,208,Hotels,F5.7,F,5.7,Brand Visited,Yuleba Hotel Motel Visitors,Yuleba Hotel Motel , ,Travel,Accommodation,Low,,,
,330,Health care,K,K,,Brand Visited,You and Eye Visitors,You and Eye ,,Health,Medicine,Low,,,
N,259,Sports,H2,H,2,Interests,Baseball Minor League,Baseball Minor League,,Hobbies And Activities,Sports,Low,,,
